bench,config,ramulator.active_cycles_0,ramulator.active_cycles_0_0,ramulator.active_cycles_0_0_0,ramulator.active_cycles_0_0_0_0,ramulator.active_cycles_0_0_0_1,ramulator.active_cycles_0_0_0_2,ramulator.active_cycles_0_0_0_3,ramulator.active_cycles_0_0_1,ramulator.active_cycles_0_0_1_0,ramulator.active_cycles_0_0_1_1,ramulator.active_cycles_0_0_1_2,ramulator.active_cycles_0_0_1_3,ramulator.active_cycles_0_0_2,ramulator.active_cycles_0_0_2_0,ramulator.active_cycles_0_0_2_1,ramulator.active_cycles_0_0_2_2,ramulator.active_cycles_0_0_2_3,ramulator.active_cycles_0_0_3,ramulator.active_cycles_0_0_3_0,ramulator.active_cycles_0_0_3_1,ramulator.active_cycles_0_0_3_2,ramulator.active_cycles_0_0_3_3,ramulator.busy_cycles_0,ramulator.busy_cycles_0_0,ramulator.busy_cycles_0_0_0,ramulator.busy_cycles_0_0_0_0,ramulator.busy_cycles_0_0_0_1,ramulator.busy_cycles_0_0_0_2,ramulator.busy_cycles_0_0_0_3,ramulator.busy_cycles_0_0_1,ramulator.busy_cycles_0_0_1_0,ramulator.busy_cycles_0_0_1_1,ramulator.busy_cycles_0_0_1_2,ramulator.busy_cycles_0_0_1_3,ramulator.busy_cycles_0_0_2,ramulator.busy_cycles_0_0_2_0,ramulator.busy_cycles_0_0_2_1,ramulator.busy_cycles_0_0_2_2,ramulator.busy_cycles_0_0_2_3,ramulator.busy_cycles_0_0_3,ramulator.busy_cycles_0_0_3_0,ramulator.busy_cycles_0_0_3_1,ramulator.busy_cycles_0_0_3_2,ramulator.busy_cycles_0_0_3_3,ramulator.dram_capacity,ramulator.dram_cycles,ramulator.in_queue_read_req_num_sum,ramulator.in_queue_req_num_sum,ramulator.in_queue_write_req_num_sum,ramulator.incoming_requests,ramulator.maximum_bandwidth,ramulator.physical_page_replacement,ramulator.ramulator_active_cycles,ramulator.read_latency_sum_0,ramulator.read_req_queue_length_sum_0,ramulator.read_requests,ramulator.read_row_conflicts_channel_0_core,ramulator.read_row_hits_channel_0_core,ramulator.read_row_misses_channel_0_core,ramulator.read_transaction_bytes_0,ramulator.req_queue_length_sum_0,ramulator.row_conflicts_channel_0_core,ramulator.row_hits_channel_0_core,ramulator.row_misses_channel_0_core,ramulator.serving_requests_0,ramulator.serving_requests_0_0,ramulator.serving_requests_0_0_0,ramulator.serving_requests_0_0_0_0,ramulator.serving_requests_0_0_0_1,ramulator.serving_requests_0_0_0_2,ramulator.serving_requests_0_0_0_3,ramulator.serving_requests_0_0_1,ramulator.serving_requests_0_0_1_0,ramulator.serving_requests_0_0_1_1,ramulator.serving_requests_0_0_1_2,ramulator.serving_requests_0_0_1_3,ramulator.serving_requests_0_0_2,ramulator.serving_requests_0_0_2_0,ramulator.serving_requests_0_0_2_1,ramulator.serving_requests_0_0_2_2,ramulator.serving_requests_0_0_2_3,ramulator.serving_requests_0_0_3,ramulator.serving_requests_0_0_3_0,ramulator.serving_requests_0_0_3_1,ramulator.serving_requests_0_0_3_2,ramulator.serving_requests_0_0_3_3,ramulator.useless_activates_0_core,ramulator.write_req_queue_length_sum_0,ramulator.write_requests,ramulator.write_row_conflicts_channel_0_core,ramulator.write_row_hits_channel_0_core,ramulator.write_row_misses_channel_0_core,ramulator.write_transaction_bytes_0,rundir
stride,nopref,1975231,1975231,499639,131284,115982,133351,123278,514174,147460,121752,122322,127498,553771,139290,143463,137057,139147,477391,132371,118539,109560,120982,1975231,2065531,499639,131284,115982,133351,123278,514174,147460,121752,122322,127498,553771,139290,143463,137057,139147,477391,132371,118539,109560,120982,8589934592,2066758,9194358,11159351,1964993,312511,19200000000,0,1975232,9274726,9194358,312510,2307,307483,2719,20000576,11159351,2307,307483,2719,6369633,6369633,1555714,405580,359456,411732,378946,1601958,455312,375648,378016,392982,1725466,429502,442432,423696,429836,1486495,407471,366416,338448,374160,0,1964993,1,0,0,0,0,/data-2u-2/wyh/code/final_project/results/stride_nopref
stride,stride,1836784,1836784,526973,141427,125238,144728,132392,540494,157637,130785,131660,136753,583020,150013,154897,147787,149972,502310,142284,127134,118113,130010,1836784,1919104,526973,141427,125238,144728,132392,540494,157637,130785,131660,136753,583020,150013,154897,147787,149972,502310,142284,127134,118113,130010,8589934592,1924758,20023492,21853419,1829927,312538,19200000000,0,1836785,20109169,20023492,312537,2428,307479,2618,20001600,21853419,2428,307479,2618,6379178,6379178,1558644,406224,360117,413419,378884,1604362,455777,376198,378967,393420,1727897,429666,443310,424391,430530,1488275,407920,367049,338802,374504,0,1829927,1,0,0,0,0,/data-2u-2/wyh/code/final_project/results/stride_stride
stride,stream,1652294,1652294,565650,151434,135154,154957,140872,578309,169637,140306,140552,146456,623396,160470,164145,158342,160554,537751,151819,135973,126403,138926,1652294,1724114,565650,151434,135154,154957,140872,578309,169637,140306,140552,146456,623396,160470,164145,158342,160554,537751,151819,135973,126403,138926,8589934592,1725162,43391567,45027096,1635529,312598,19200000000,0,1652294,43479417,43391567,312597,2603,307508,2463,20004736,45027096,2603,307508,2463,6388420,6388420,1561188,406872,361644,413852,378820,1606144,456487,376588,378872,394197,1731383,430962,443119,425382,431920,1489705,408153,366973,339644,374935,0,1635529,1,0,0,0,0,/data-2u-2/wyh/code/final_project/results/stride_stream
stride,spp,2023323,2023323,508647,133849,118119,135989,124323,524712,151222,123810,124242,129720,565163,141743,146168,139702,142203,487314,134967,121027,111411,123597,2023323,2116983,508647,133849,118119,135989,124323,524712,151222,123810,124242,129720,565163,141743,146168,139702,142203,487314,134967,121027,111411,123597,8589934592,2167870,26205454,28267321,2061867,312519,19200000000,0,2023324,26285845,26205454,312518,2231,307483,2803,20001088,28267321,2231,307483,2803,6369976,6369976,1554982,405870,359456,411832,377824,1602488,456223,375504,377872,392889,1725448,429152,442400,423776,430120,1487058,407690,366320,338620,374428,0,2061867,1,0,0,0,0,/data-2u-2/wyh/code/final_project/results/stride_spp
strided,nopref,664886,664886,431252,135398,138907,138818,137760,430106,147462,132848,129224,135161,443770,144892,139756,142315,148792,416048,144758,129633,120087,130437,664886,678326,431252,135398,138907,138818,137760,430106,147462,132848,129224,135161,443770,144892,139756,142315,148792,416048,144758,129633,120087,130437,8589934592,679363,17854562,18459404,604842,149804,19200000000,0,664886,18201290,17854562,149803,14980,131192,3630,9587328,18459404,14980,131192,3630,3787591,3787591,945417,232445,238901,238566,235505,935768,253564,228870,221084,232250,999005,250938,242368,246147,259552,907401,250432,224809,206952,225208,0,604842,1,0,0,0,0,/data-2u-2/wyh/code/final_project/results/strided_nopref
strided,stride,657456,657456,429184,137412,138453,138044,138723,430253,146195,134618,131952,135932,442539,148219,139997,142356,149665,416469,145055,130165,120607,131270,657456,671736,429184,137412,138453,138044,138723,430253,146195,134618,131952,135932,442539,148219,139997,142356,149665,416469,145055,130165,120607,131270,8589934592,672856,18061850,18660543,598693,149816,19200000000,0,657458,18414685,18061850,149815,14995,130959,3855,9587776,18660543,14995,130959,3855,3803718,3803718,947423,234504,239377,237536,236006,941766,253488,231189,223842,233247,1004330,253852,243237,246575,260666,910199,250729,225975,207615,225880,0,598693,1,0,0,0,0,/data-2u-2/wyh/code/final_project/results/strided_stride
strided,stream,668004,668004,433969,136317,137770,141594,139095,432310,146753,133777,129447,137248,445983,147535,138797,142719,151132,417769,144885,130373,119992,132175,668004,679764,433969,136317,137770,141594,139095,432310,146753,133777,129447,137248,445983,147535,138797,142719,151132,417769,144885,130373,119992,132175,8589934592,680693,17906234,18512040,605806,150216,19200000000,0,668004,18254960,17906234,150215,15055,131482,3677,9613696,18512040,15055,131482,3677,3805124,3805124,950360,233752,238282,241490,236836,939517,253083,230546,221003,234885,1005103,254268,241406,246788,262641,910144,250732,225813,206998,226601,0,605806,1,0,0,0,0,/data-2u-2/wyh/code/final_project/results/strided_stream
strided,spp,665207,665207,428946,136167,136759,136760,138597,430697,146835,133852,128950,136754,442059,145431,139217,140239,149608,417787,144098,130133,120468,130985,665207,678647,428946,136167,136759,136760,138597,430697,146835,133852,128950,136754,442059,145431,139217,140239,149608,417787,144098,130133,120468,130985,8589934592,679700,18075936,18680884,604948,149810,19200000000,0,665209,18422311,18075936,149809,14990,131197,3621,9587712,18680884,14990,131197,3621,3786725,3786725,943104,233358,237019,236173,236554,938660,253285,230278,221023,234074,996793,250929,241551,243425,260888,908168,249207,225220,207716,226025,0,604948,1,0,0,0,0,/data-2u-2/wyh/code/final_project/results/strided_spp
2dstencil,nopref,934437,934437,236878,59187,59857,63038,56181,236958,68960,54498,56380,58624,260171,62297,72189,62764,64475,222688,57437,57343,55124,54811,934437,978537,236878,59187,59857,63038,56181,236958,68960,54498,56380,58624,260171,62297,72189,62764,64475,222688,57437,57343,55124,54811,8589934592,1007893,3237467,4126911,889444,131080,19200000000,0,934437,3271649,3237467,131079,881,128941,1256,8388992,4126911,881,128941,1256,2670775,2670775,659741,163454,165408,174639,156240,662228,191680,151232,156400,162916,726432,173296,199792,174560,178784,622374,158933,159104,151937,152400,0,889444,1,0,0,0,0,/data-2u-2/wyh/code/final_project/results/2dstencil_nopref
2dstencil,stride,811249,811249,214650,54463,55438,57363,51343,215662,63634,50132,51788,54231,235340,57483,65983,57238,58818,202016,53052,52579,50796,50266,811249,847789,214650,54463,55438,57363,51343,215662,63634,50132,51788,54231,235340,57483,65983,57238,58818,202016,53052,52579,50796,50266,8589934592,851549,12297567,13048756,751189,131096,19200000000,0,811250,12332552,12297567,131095,1004,128921,1158,8389312,13048756,1004,128921,1158,2674911,2674911,660811,163763,166079,174632,156337,663518,192103,151355,156453,163607,727418,173845,199966,174722,178885,623164,159290,159154,152050,152670,0,751189,1,0,0,0,0,/data-2u-2/wyh/code/final_project/results/2dstencil_stride
