bench,config,cycles,insts,icache_hit,icache_miss,dcache_hit,dcache_miss,ul1_hits,ul1_misses,ul1_pref_hit,ul1_pref_unique,ul1_pref_late,pref_sent,pref_matched,spp_operate,spp_pf_issued_l2,spp_pf_issued_llc,spp_pf_filtered,spp_pf_page_cross,spp_pf_useful,spp_lookahead_total,spp_ghr_boot,ipc,pref_accuracy,mpki,pref_coverage,spp_avg_depth
stride,nopref,5511354,10000000,2500067,3,0,2500042,1,312510,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8144361621481764,0.0,31.251,0.0,0.0
stride,stride,5132688,10000000,2500067,3,39133,2460909,51093,312537,51092,48577,173050,234226,7677,0,0,0,0,0,0,0,0,1.9482968768021747,0.9462100706155593,31.2537,0.41490441137927675,0.0
stride,stream,4600432,10000000,2500067,3,48643,2451398,132671,312597,132646,128138,184326,312582,0,0,0,0,0,0,0,0,0,2.1737089038594637,0.9996224990562477,31.2597,0.49989361038362656,0.0
stride,spp,5780986,10000000,2500072,3,10422,2489619,21917,312518,21916,21163,271747,302977,2527703,324051,163016,2667668,52196,331384,162890,3195235,4883,1.7298087212112259,0.9667730553804414,31.2518,0.48380649722180014,9.860284337959149
strided,nopref,1811634,599205,150085,3,0,149800,1,149803,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3307538939984566,0.0,250.00292053637736,0.0,0.0
strided,stride,1794282,599205,150087,3,0,149800,1466,149815,1112,1112,21385,135495,16892,0,0,0,0,0,0,0,0,0.3339525225131835,0.16603564707184768,250.02294707153646,0.1305596824365105,0.0
strided,stream,1815181,599205,150085,3,0,149800,1,150215,0,0,0,412,0,0,0,0,0,0,0,0,0,0.3301075760488899,0.0,250.69049824350597,0.0,0.0
strided,spp,1812533,599205,150085,3,0,149800,246,149809,172,172,9966,130293,450288,152457,80024,500630,11915,1013290,79980,1601495,15594,0.330589843053892,0.0778092453163255,250.0129338039569,0.06338349578297811,10.504568501282328
2dstencil,nopref,2687716,6815237,1571456,5,1570595,518373,1,131079,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53569834015201,0.0,19.23322695894508,0.0,0.0
2dstencil,stride,2270799,6815237,1571456,5,1571787,517181,8050,131095,8049,7923,117065,125925,4976,0,0,0,0,0,0,0,0,3.001250661110913,0.9925590629342863,19.23557463959067,0.4880761315667186,0.0
2dstencil,stream,1963930,6815237,1571484,5,1575462,513506,86164,131114,86130,85521,45534,131123,0,0,0,0,0,0,0,0,0,3.470203622328698,0.9994814029575284,19.238362510357305,0.49988747716167814,0.0
2dstencil,spp,2505959,6815237,1571481,5,1575008,513960,13302,131091,13282,12988,110432,127075,968012,134484,57335,1037752,22392,107274,57300,1211722,2046,2.7196123320453367,0.9712374581939799,19.234987719429274,0.4849299244433443,9.010157342137354
linkedlist,nopref,86412801,4194329,1049089,8,0,2097154,1,1048590,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04853828311849306,0.0,250.00184773297468,0.0,0.0
linkedlist,stride,22899360,4194329,1049090,8,0,2097154,981630,1048782,981629,981629,65267,1047088,5632,0,0,0,0,0,0,0,0,0.1831635905981652,0.9998166343229986,250.04762382731542,0.4995500262922071,0.0
linkedlist,stream,23286562,4194329,1049137,8,0,2097154,985069,1573522,985068,985068,63444,1573444,0,0,0,0,0,0,0,0,0,0.1801180011029537,0.6663802461352295,375.1546433291237,0.3998849747943772,0.0
linkedlist,spp,24874994,4194329,1049132,8,0,2097154,325050,1048772,325049,325049,683557,1008789,9660740,1048598,756444,9913085,162597,2041584,756435,12873710,24580,0.16861628187729413,0.9998185943740465,250.04523965573517,0.49023854634393876,12.277069000703797
random,nopref,15997445,10000004,2142913,3,2796,711505,85320,626137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6251000706675347,0.0,62.61367495453002,0.0,0.0
random,stride,15997445,10000004,2142913,3,2796,711505,85320,626137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6251000706675347,0.0,62.61367495453002,0.0,0.0
random,stream,15997445,10000004,2142913,3,2796,711505,85320,626137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6251000706675347,0.0,62.61367495453002,0.0,0.0
random,spp,15996141,10000004,2142913,3,2796,711505,85331,626221,12,11,0,95,0,711453,0,95,0,19,0,114,39503,0.6251510286137137,0.11578947368421053,62.62207495117002,1.756537513253874e-05,0.00016023546179438417
